Id,Rule Name,Product,Severity,Status,Confidence,Category,Is Pro Rule,Semgrep Autotriage Result,Semgrep Autotriage Reason,Ai Impact,Ai Exploit Conditions,Semgrep File Risk Tag,Repository Name,Repository Url,Line Of Code Url,Semgrep Platform Link,Created At,Last Opened At,Branch,Triaged At,Triage Comment,Triage Reason,Rule Description
875690100,typescript.react.security.react-insecure-request.react-insecure-request,Code,High,Open,Medium,security,False,,,,,,crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api/blob/3d3d721e73f4220de2956f040d9165903219761a/src/scripts/verify-cache.js#L11,https://semgrep.dev/orgs/daitoan2000_personal_org/findings/875690100,2026-07-04 05:50:08.637858,2026-07-04 05:50:08.613834,refs/heads/main,,,,Unencrypted request over HTTP detected.
875690099,typescript.react.security.react-insecure-request.react-insecure-request,Code,High,Open,Medium,security,False,,,,,,crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api/blob/3d3d721e73f4220de2956f040d9165903219761a/src/scripts/verify-cache.js#L22,https://semgrep.dev/orgs/daitoan2000_personal_org/findings/875690099,2026-07-04 05:50:08.637841,2026-07-04 05:50:08.613829,refs/heads/main,,,,Unencrypted request over HTTP detected.
875690098,typescript.react.security.react-insecure-request.react-insecure-request,Code,High,Open,Medium,security,False,,,,,,crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api/blob/3d3d721e73f4220de2956f040d9165903219761a/src/scripts/verify-cache.js#L32,https://semgrep.dev/orgs/daitoan2000_personal_org/findings/875690098,2026-07-04 05:50:08.637823,2026-07-04 05:50:08.613824,refs/heads/main,,,,Unencrypted request over HTTP detected.
875690097,typescript.react.security.react-insecure-request.react-insecure-request,Code,High,Open,Medium,security,False,,,,,,crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api/blob/3d3d721e73f4220de2956f040d9165903219761a/src/scripts/verify-cache.js#L74,https://semgrep.dev/orgs/daitoan2000_personal_org/findings/875690097,2026-07-04 05:50:08.637806,2026-07-04 05:50:08.613819,refs/heads/main,,,,Unencrypted request over HTTP detected.
875690096,typescript.react.security.react-insecure-request.react-insecure-request,Code,High,Open,Medium,security,False,,,,,,crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api/blob/3d3d721e73f4220de2956f040d9165903219761a/src/scripts/verify-refactor.js#L11,https://semgrep.dev/orgs/daitoan2000_personal_org/findings/875690096,2026-07-04 05:50:08.637789,2026-07-04 05:50:08.613814,refs/heads/main,,,,Unencrypted request over HTTP detected.
875690095,typescript.react.security.react-insecure-request.react-insecure-request,Code,High,Open,Medium,security,False,,,,,,crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api/blob/3d3d721e73f4220de2956f040d9165903219761a/src/scripts/verify-refactor.js#L20,https://semgrep.dev/orgs/daitoan2000_personal_org/findings/875690095,2026-07-04 05:50:08.637771,2026-07-04 05:50:08.613809,refs/heads/main,,,,Unencrypted request over HTTP detected.
875690090,javascript.node-crypto.security.gcm-no-tag-length.gcm-no-tag-length,Code,High,Open,Medium,security,False,,,,,,crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api/blob/3d3d721e73f4220de2956f040d9165903219761a/src/channels/domain/crypto.service.ts#L98,https://semgrep.dev/orgs/daitoan2000_personal_org/findings/875690090,2026-07-04 05:50:08.637685,2026-07-04 05:50:08.613784,refs/heads/main,,,,"The call to 'createDecipheriv' with the Galois Counter Mode (GCM) mode of operation is missing an expected authentication tag length. If the expected authentication tag length is not specified or otherwise checked, the application might be tricked into verifying a shorter-than-expected authentication tag. This can be abused by an attacker to spoof ciphertexts or recover the implicit authentication key of GCM, allowing arbitrary forgeries."
875690089,javascript.node-crypto.security.gcm-no-tag-length.gcm-no-tag-length,Code,High,Open,Medium,security,False,,,,,,crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api/blob/3d3d721e73f4220de2956f040d9165903219761a/src/channels/domain/crypto.service.ts#L232,https://semgrep.dev/orgs/daitoan2000_personal_org/findings/875690089,2026-07-04 05:50:08.637668,2026-07-04 05:50:08.613779,refs/heads/main,,,,"The call to 'createDecipheriv' with the Galois Counter Mode (GCM) mode of operation is missing an expected authentication tag length. If the expected authentication tag length is not specified or otherwise checked, the application might be tricked into verifying a shorter-than-expected authentication tag. This can be abused by an attacker to spoof ciphertexts or recover the implicit authentication key of GCM, allowing arbitrary forgeries."
875690088,javascript.mongoose.node-mongoose-hardcoded-secret.node-mongoose-hardcoded-secret,Code,Medium,Open,High,security,False,,,,,Developer Scripts,crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api/blob/3d3d721e73f4220de2956f040d9165903219761a/scripts/fix-facebook-profile-enrichment.cjs#L25,https://semgrep.dev/orgs/daitoan2000_personal_org/findings/875690088,2026-07-04 05:50:08.637651,2026-07-04 05:50:08.613774,refs/heads/main,,,,"A secret is hard-coded in the application. Secrets stored in source code, such as credentials, identifiers, and other types of sensitive data, can be leaked and used by internal or external malicious actors. Use environment variables to securely provide credentials and other secrets or retrieve them from a secure vault or Hardware Security Module (HSM)."
875690087,javascript.mongodb.node-mongodb-hardcoded-secret.node-mongodb-hardcoded-secret,Code,Medium,Open,High,security,False,,,,,,crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api/blob/3d3d721e73f4220de2956f040d9165903219761a/cleanup-email-data.js#L6,https://semgrep.dev/orgs/daitoan2000_personal_org/findings/875690087,2026-07-04 05:50:08.637634,2026-07-04 05:50:08.613769,refs/heads/main,,,,"A secret is hard-coded in the application. Secrets stored in source code, such as credentials, identifiers, and other types of sensitive data, can be leaked and used by internal or external malicious actors. Use environment variables to securely provide credentials and other secrets or retrieve them from a secure vault or Hardware Security Module (HSM)."
